name,review,rating
"Planetwise Flannel Wipes","These flannel wipes are OK, but in my opinion not worth keeping.  I also ordered someImse Vimse Cloth Wipes-Ocean Blue-12 countwhich are larger, had a nicer, softer texture and just seemed higher quality.  I use cloth wipes for hands and faces and have been usingThirsties 6 Pack Fab Wipes, Boyfor about 8 months now and need to replace them because they are starting to get rough and have had stink issues for a while that stripping no longer handles.",3
"Planetwise Wipe Pouch","it came early and was not disappointed. i love planet wise bags and now my wipe holder. it keps my osocozy wipes moist and does not leak. highly recommend it.",5
"Annas Dream Full Quilt with 2 Shams","Very soft and comfortable and warmer than it looks...fit the full size bed perfectly...would recommend to anyone looking for this type of quilt",5
"Stop Pacifier Sucking without tears with Thumbuddy To Love\'s Binky Fairy Puppet and Adorable Book","This is a product well worth the purchase.  I have not found anything else like this, and it is a positive, ingenious approach to losing the binky.  What I love most about this product is how much ownership my daughter has in getting rid of the binky.  She is so proud of herself, and loves her little fairy.  I love the artwork, the chart in the back, and the clever approach of this tool.",5
"Stop Pacifier Sucking without tears with Thumbuddy To Love\'s Binky Fairy Puppet and Adorable Book","All of my kids have cried non-stop when I tried to ween them off their pacifier, until I found Thumbuddy To Love\'s Binky Fairy Puppet.  It is an easy way to work with your kids to allow them to understand where their pacifier is going and help them part from it.This is a must buy book, and a great gift for expecting parents!!  You will save them soo many headaches.Thanks for this book!  You all rock!!",5
"Stop Pacifier Sucking without tears with Thumbuddy To Love\'s Binky Fairy Puppet and Adorable Book","When the Binky Fairy came to our house, we didn\'t have any special gift and book to help explain to her about how important it is to stop using a pacifier. This book does a great job to help prepare your child for the loss of their favorite item. The doll is adorable and we made lots of cute movies with the Binky Fairy telling our daughter about what happens when the Binky Fairy comes. I would highly recommend this product for any parent trying to break the pacifier or thumb sucking habit.",5
"A Tale of Baby\'s Days with Peter Rabbit","Lovely book, it\'s bound tightly so you may not be able to add alot of photos/cards aside from the designated spaces in the book. Shop around before you purchase, as it is currently listed at Barnes & Noble for 29.95!",4
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log","Perfect for new parents. We were able to keep track of baby\'s feeding, sleep and diaper change schedule for the first two and a half months of her life. Made life easier when the doctor would ask questions about habits because we had it all right there!",5
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log","A friend of mine pinned this product on Pinterest so I decided to give it a whirl! It is fantastic! If you are a new parent, this will help you keep track of feedings, diaper changes and the like!",5
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log","This has been an easy way for my nanny to record all the key events that happen with my baby when I\'m not at home.  Would highly recommend it to someone who wants to stay informed of what your baby is up to while you\'re not home.The only reason this isn\'t a 5 is because I think there could have been some more standarad pre-printed options.I plan on ordering another one when we run out of pages in this journal.",4
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log","I love this journal and our nanny uses it everyday to track on our daughter\'s sleep, eating and other activities. The layout and design make it very easy to fill in quickly with a comments column to add in details (i.e. we ask the nanny to specify what food she had for lunch, amount of milk she took, specifics of play time--tummy time, walk to park, etc.) I love knowing the details of my baby\'s day, and I also use it to track weekly on overall schedule patterns and changes (i.e. baby\'s nap time has moved naturally as she gets older).My only complaint is that there is no real space to communicate back to the nanny, as I sometimes want to reply to the nanny\'s comments and/or leave her notes about the previous night (i.e. Baby didn\'t sleep well or baby has rash, etc) or other instructions (Please use sun screen on the baby - it\'s hot out today) that I often forget to tell her in the rush of the morning. I just stick in post-its now for my notes. All in all, I highly recommend this baby tracker.",4
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log","This book is perfect!  I\'m a first time new mom, and this book made it so easy to keep track of feedings, diaper changes, sleep.  Definitely would recommend this for new moms.  Plus it\'s small enough that I throw in the diaper back for doctor visits.",5
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log","I originally just gave the nanny a pad of paper to write down this information for my little one. She would take him to the park and leave the pad behind - I was getting incomplete/inaccurate information when she wohld get home at the end of the day and try to remember naps/feedings/diaper changes. I wanted something she could take with her and also a way to better control how she reported information. This was the perfect solution! Now I\'m getting all the information I wanted. There is a very helpful example of how to fill it out. It also has a pouch for additional documents and a section up front for emergency contact info. Each page goes from 7 - 6. This works for me because the nanny starts at 7am and ends before 6pm. I use an app on my phone for tracking when I\'m with the baby. I transfer the info from this notebook to my phone. My only complaint: the space is pretty small - they provide useful shorthand, but it\'s a little difficult to fit some of the info in the space provided. Also, some of the other reviews complain about the 7 - 6 time format. This isn\'t a real problem for me, but I suppose if you wanted to track an entire day, you would have to use two pages - not too big of a deal. 7am - 6pm is pretty much perfect for daycare/nanny/caregiver situation.",4
"Baby Tracker&reg; - Daily Childcare Journal, Schedule Log","I thought keeping a simple handwritten journal would be nice.  But I haven\'t used this thing at all, and here\'s why:1.) When you\'re breastfeeding, it\'s often nice to have your phone close by so that you can keep yourself entertained.  If you are able to grab *both* your phone and this notebook - and a pen - consistently - and at 3 in the morning - you are more skilled than me.  (I don\'t nurse in the same place every time.)2.) You\'re also often so sleep deprived that - at least for me - I\'d forget to look at what time we started on a side, or what side we started on.  I\'m not perfect with the app I have either, but at least I just have to mindlessly hit a button.3.) I really like the app I have (Baby Connect).  It gives me better data.  For example, it can tell me how long on average feedings have been taking (helpful as we start to think about sleep training).  It can tell me that I nursed him 177 times last month (granted that serves no useful purpose other than a feeling of perverse satisfaction).",3
